control,stimulus,ui,SR_0_count,SR_1_count,total,SR_0_ratio,SR_1_ratio
D,G,button,0,10,10,0.0,1.0
D,G,slider,0,10,10,0.0,1.0
D,M,button,0,9,9,0.0,1.0
D,M,slider,0,11,11,0.0,1.0
D,N,button,0,11,11,0.0,1.0
D,N,slider,0,9,9,0.0,1.0
D,P,button,0,10,10,0.0,1.0
D,P,slider,0,10,10,0.0,1.0
I,G,button,3,7,10,0.3,0.7
I,G,slider,0,10,10,0.0,1.0
I,M,button,1,8,9,0.1111111111111111,0.8888888888888888
I,M,slider,0,11,11,0.0,1.0
I,N,button,0,11,11,0.0,1.0
I,N,slider,1,8,9,0.1111111111111111,0.8888888888888888
I,P,button,4,6,10,0.4,0.6
I,P,slider,0,10,10,0.0,1.0
